name crime_type profit
"Henriette Thomas du Peron" robbery 558
"Marianne Francois" "drug sale" 8100
"Chantal Laurent" theft 52
"Dorothée Coulon" theft 37
"Astrid Meunier" pickpocketing 41
"Aimé Gillet" theft 117
"Alexandria Briand de la Lelievre" theft 231
"Louis Lacroix" theft 344
"Margaret Mallet" pickpocketing 33
"Émile Chauveau-Monnier" pickpocketing 34
"Adrienne Chauvin" theft 116
"Benoît Lemaitre" theft 164
"Alfred Jacques-Rodriguez" "drug sale" 1980
"Astrid Foucher" "drug sale" 10890
"Victoire Masson" pickpocketing 50
"Alexandre de la Lombard" pickpocketing 3
"Bernard Vallet" forgery 551
"Sébastien David" theft 164
"Georges Da Costa-Diaz" robbery 34
"René Tessier du Lagarde" "weapons sale" 423000
"René-Roger Grondin" pickpocketing 45
"Christophe Leblanc" theft 388
"Jules Jourdan" pickpocketing 3
"Roger Blanchet Le Dupuy" "weapons sale" 116000
"Olivie Riviere" theft 191
"Christine-Audrey Descamps" forgery 185
"Océane Leveque" "weapons sale" 115000
"Grégoire Morel" pickpocketing 3
"Alexandre Delaunay" forgery 297
"Tristan Morvan" pickpocketing 40
"Victor de Bourgeois" robbery 352
"William Barbier" robbery 460
"Patrick Jacquot-Michaud" robbery 384
"Éléonore du Antoine" theft 389
"Bernadette Pineau" pickpocketing 21
"Roger Le Perrier" theft 68
"Lorraine Bertin" theft 112
"Marcel Ramos" theft 70
"Alex de la Martin" pickpocketing 42
"Margot Allain" robbery 948
"Denis Maillot" theft 143
"Catherine Weiss" "drug sale" 23580
"Théophile Hamel-Humbert" pickpocketing 28
"Gabrielle-Marine Peltier" forgery 324
"Anaïs de la Lebrun" theft 257
"Claire Blanc-Cousin" "weapons sale" 117000
"Paul Jacques" robbery 126
"Thibaut Barre" forgery 570
"Aurélie Guillot" theft 312
"Grégoire Daniel" robbery 930
"Jeanne Bouvier" pickpocketing 48
"Étienne Herve Le Renard" robbery 462
"Thérèse Hamon" pickpocketing 44
"daisy Toussaint" "weapons sale" 266000
"daisy Faure" forgery 436
"Richard Roux-Masson" robbery 384
"Madeleine-Camille Pruvost" forgery 375
"Colette Regnier de la Rousset" theft 255
"Daniel Bousquet" forgery 45
"Jules Lelievre" theft 258
"Gabriel de la Lacroix" forgery 263
"Madeleine Gilbert" robbery 94
"Christelle de Simon" "weapons sale" 226000
"Zacharie Samson" "weapons sale" 208000
"Claude Antoine" theft 390
"Joseph-André Allain" theft 397
"Olivier du Picard" theft 386
"Maggie Couturier" robbery 52
"Denise Besnard" robbery 74
"Jean Guyon" robbery 754
"Arnaude Legros Le Noel" robbery 464
"Charlotte-Aurélie Delaunay" pickpocketing 31
"Nicole Martineau" "drug sale" 23400
"Patrick Le Humbert" theft 291
"Henriette Charpentier" "weapons sale" 282000
