id,benennen,aliasnamen,breitengrad,länge
0,Elfriede Bruder-Gehringer,,50.049,8.6103
1,Univ.Prof. Kai-Uwe Austermühle B.A.,,50.0419,8.7727
2,Gerlind Wende,,50.0118,8.9304
3,Hüseyin Kostolzin,Bonafide,50.31,8.8847
4,Jeannette Döring,,50.1616,8.6644
5,Emil Meyer,,50.3493,8.8486
6,Liesbeth Reichmann,,50.2134,8.5748
7,Ingeburg Mude,,50.0138,8.7619
8,Angelica Bonbach-Radisch,,50.2164,8.4987
9,Dr. Veronique Schmidtke B.Sc.,,49.9353,8.7445
10,Isolde Seifert,,50.2181,8.7849
11,Hanife Butte B.A.,,50.257,8.6129
12,Ehrenfried Hölzenbecher B.Eng.,,49.9506,8.5474
13,Alwine Dowerg,,50.0547,8.6403
14,Frau Janina Reising MBA.,,49.9031,8.8856
15,Peter-Michael Gotthard,,50.1812,8.9007
16,Hanne Hecker,,50.2076,8.9217
17,Univ.Prof. Robby Hentschel,,50.2963,8.8107
18,Agnieszka Aumann,,50.2929,8.8051
19,Sandor Ritter,,50.2001,8.8476
20,Gregor Förster,,50.0562,8.8835
21,Ingeborg Jacobi Jäckel,,50.1922,8.5046
22,Univ.Prof. Rosa Ziegert MBA.,,50.1765,8.4516
23,Dipl.-Ing. Dennis Hesse,,50.0266,8.6771
24,Oscar Hofmann,,50.0069,8.9062
25,Istvan Rose,,49.9489,8.903
26,Erhard Lübs B.A.,,49.8805,8.5383
27,Engin Roskoth,,50.0035,8.9045
28,Adelgunde Henschel B.Eng.,,50.2047,8.7456
29,Lilian Schulz B.Sc.,,50.067,8.6996
30,Dipl.-Ing. Leokadia Metz,,49.8653,8.796
31,Wolfhard Karz,Mousey,50.1439,8.9162
32,Undine Otto,,50.0227,8.4722
33,Walli Krause,,50.0113,8.8874
34,Tania Jessel,,50.0331,8.5723
35,Herr Christoph Möchlichen B.Eng.,Hot,50.1504,8.5529
36,Dragica Preiß-Sauer,,49.9158,8.7433
37,Heino Wilmsen,,50.2868,8.5632
38,José Henschel,,50.2485,8.5653
39,Hülya Heinrich,,50.0633,8.776
40,Sylvester Ruppersberger,,50.0938,8.7363
41,Gloria Lange,,50.2106,8.8746
42,Darius Wernecke,,50.2809,8.5974
43,Univ.Prof. Heidi Rogge B.Sc.,,49.938,8.6537
44,Bianca Zahn,Soft,49.9256,8.526
45,Corinna Ernst,,50.0691,8.5903
46,Herr Ralf-Dieter Meyer MBA.,,50.0806,8.5248
47,Ulrike Walter,,50.081,8.6685
48,Knud Mude,,49.9408,8.5366
49,Wanda Speer,,50.2116,8.5359
50,Hassan Wagner,Lil’,50.2523,8.7492
51,Dr. Viola Seip B.Eng.,Girl,50.2022,8.6079
52,Arzu Rudolph,,50.1175,8.6697
53,Czeslaw Schomber,,50.2592,8.5321
54,Dr. Gert Roskoth,,50.209,8.6472
55,Friedo Mans-Weinhold,Minx,50.2414,8.5746
56,Burckhard Tlustek-Rädel,,50.3036,8.7223
57,Gesche Paffrath,,49.9037,8.5883
58,Katrin Fischer,,50.0258,8.7561
59,Isabelle Bolnbach-Hahn,,50.1366,8.5418
60,Britta Häring,,50.07,8.891
61,Tibor Trupp B.Sc.,,50.23,8.8405
62,Frau Swetlana Wähner B.Eng.,,50.0463,8.7183
63,Evamaria Weitzel,,50.0975,8.7184
64,Herr Otfried Röhricht MBA.,,49.9968,8.5151
65,Renato Gieß-Bruder,,50.1883,8.6598
66,Karl-Ludwig Klotz-Lachmann,,50.0768,8.6755
67,Semra Dörr,,49.9373,8.5853
68,Hermann Josef Wende-Nette,,49.8878,8.7097
69,Ing. Anselm Kroker,Paiyaso,50.0981,8.5306
70,Martina Bender-Heidrich,,50.1902,8.9274
71,Dipl.-Ing. Ingo Haase,,49.8636,8.7889
72,Veit Ruppert-Johann,,50.2461,8.542
73,Ivonne Hermann,,50.0439,8.4869
74,Slobodan Neuschäfer,,50.014,8.6794
75,Tobias Drubin,,50.1088,8.8531
76,Univ.Prof. Heinz Dieter Kobelt B.A.,,50.1368,8.7112
77,Nikolaj Kallert,,50.3476,8.5904
78,Hermann Josef Kranz,,50.1262,8.5656
79,Anna-Luise Weinhold,,50.1931,8.7695
80,Cordula Müller,Demon,50.0913,8.6455
81,Herr Andrei Jungfer MBA.,,50.0589,8.9259
82,Gudula Reichmann-Girschner,,49.99,8.5103
83,Meinolf Grein Groth,,50.0373,8.5828
84,Hilma Austermühle B.Sc.,,49.8785,8.4593
85,Randolf Ehlert,,49.9119,8.4697
86,Hendrik Zirme B.Eng.,,49.8628,8.4641
87,Juliane Losekann B.Eng.,Spite,49.93,8.8768
88,Univ.Prof. Imelda Ziegert,,50.1552,8.8287
89,Prof. Ulf Ladeck B.Eng.,,50.253,8.5456
90,Sybilla Rosemann,,50.0809,8.8389
91,Gundula Ullmann,,50.3289,8.5553
92,Ilhan Misicher,,49.9036,8.731
93,Leon Scholz,,50.3551,8.7437
94,Klaus-D. Rosenow,Bitch,50.0973,8.5744
95,Ingbert Krause,,50.0411,8.8277
96,Dr. Janos Hering MBA.,,50.1138,8.5524
97,Hans-Dieter Henschel-Steckel,,50.2991,8.6157
98,Jiri Gude,,50.1225,8.8847
99,Eleni Stoll,,50.0759,8.5251
100,Antonie Kaul,,50.3058,8.5652
101,Alwin Dehmel,Gunner,49.9176,8.8636
102,Hubertine Klingelhöfer,,50.1375,8.8392
103,Artur Schenk,,49.8738,8.8535
104,Sergio Seip B.Eng.,,50.1953,8.7124
105,Cindy Loos,,50.106,8.8835
106,Heinz-Dieter Trubin,,50.2208,8.4457
107,Jorge Wulf,,50.1913,8.609
108,Judith Nohlmans-Pechel,,50.0842,8.8957
109,Herr Vassilios Staude B.A.,Spider,50.1452,8.4562
110,Hanspeter Kensy,,50.1739,8.7474
111,Ludger Klemm,,50.0976,8.5082
112,Zeljko Gute,,49.9486,8.5933
113,Cengiz Tintzmann-Häring,,50.1341,8.7212
114,Justine Kitzmann MBA.,,50.244,8.5873
115,Silke Ditschlerin,,50.3237,8.7256
116,Käthe Karz-Schulz,,49.8648,8.7394
117,Pius Klingelhöfer,,50.1914,8.8288
118,Magdalena Langern,Shy,50.3387,8.6583
119,Christl Gude,,49.9932,8.7658
120,Herr Hans-Erich Staude,,50.1022,8.803
121,Thea Schmiedt,,50.2055,8.5364
122,Maurice Söding,Tigress,50.1172,8.5393
123,Michail Gute-Lorch,,49.8769,8.5161
124,Dipl.-Ing. Franca Bloch,,50.1582,8.7967
125,Burkard Pechel MBA.,,50.3021,8.6892
126,Ing. Bastian Vollbrecht MBA.,Cisco,49.9899,8.7819
127,Josef Wagenknecht,,49.9164,8.542
128,Ing. Monica Stey,Tequila,50.0451,8.8286
129,Univ.Prof. Hilde Süßebier B.Sc.,Popcorn,50.0496,8.9254
130,Rabea Schomber-Seifert,,50.1246,8.4999
131,Britt Textor B.A.,,50.1352,8.756
132,Dr. Ester Rose MBA.,,49.9997,8.7886
133,Natali Schomber,,50.3432,8.7677
134,Anna-Marie Budig,,49.9317,8.5298
135,Ing. Manuel Röhricht,,49.8751,8.7008
136,Dipl.-Ing. Veronique Scheel B.Eng.,,50.0951,8.5692
137,Dipl.-Ing. Matthias Scheel,,50.2172,8.6311
138,Erdal Rosenow-Blümel,,50.1122,8.7804
139,Eckard Schüler,,50.0379,8.9266
140,Curt Bachmann,,50.3443,8.6484
141,Arzu Jockel,,50.117,8.4577
142,Henning Hein,,50.1955,8.4917
143,Maxim Höfig,,50.086,8.5888
144,Dr. Hans-Walter Hermighausen,,50.0127,8.6116
145,Rosita Caspar,,49.9343,8.8953
146,Evangelia Geisel,,50.2188,8.8949
147,Antonie Hentschel,,49.9032,8.5039
148,Zbigniew Jüttner,,50.3557,8.6396
149,Dr. Kilian Jockel B.A.,,49.9193,8.6073
150,Herr Ewald Neureuther,,50.3132,8.4731
151,Cindy Sorgatz,,49.8691,8.5362
152,Hansjoachim Scholz MBA.,,49.9692,8.6686
153,Katarina Schwital B.Sc.,Repogirl,50.0014,8.8325
154,Dr. Kathleen Mielcarek,,50.0786,8.6249
155,Reinhart Kreusel,,49.9903,8.8954
156,Fernando Austermühle,,50.0777,8.564
157,Peggy Weiß,Nevada,50.0675,8.6093
158,Bruni Textor,,50.1482,8.9198
159,Andrei Pruschke,,50.1756,8.5146
160,Dr. Mikhail Becker,,50.3185,8.5916
161,Alfons Dörr MBA.,,50.0601,8.7972
162,Goran Junck,,50.1317,8.6299
163,Lidwina Becker-Junk,,50.3304,8.6462
164,Ing. Angelo Riehl B.Sc.,,49.9894,8.9221
165,Dr. Kordula Bruder B.Eng.,,50.0568,8.4823
166,George Dobes,Happy,50.0416,8.7566
167,Sibel Stoll B.Eng.,,49.9608,8.8591
168,Helmut Römer B.A.,,50.2061,8.4395
169,Gordana Hesse B.Eng.,Kinky,49.9397,8.8435
170,Dogan Schottin,,50.0469,8.5757
171,Korinna Kruschwitz,,50.1447,8.5949
172,Erdogan Schleich,,49.9889,8.6294
173,Frau Ria Hölzenbecher B.Eng.,,49.9722,8.8793
174,Univ.Prof. Augusta Putz,Bullet,50.3554,8.8238
175,Frau Alexa Dowerg B.Eng.,,50.2018,8.7985
176,Veit Naser,,50.3213,8.7068
177,Ronald Trub-Liebelt,,50.3345,8.7536
178,Dr. Anka Stadelmann B.Sc.,,50.1806,8.5849
179,Luisa Etzold,,50.2081,8.6215
180,Isa Martin,Popoye,50.1492,8.5831
181,Winfried Jungfer-Heydrich,,50.3456,8.5327
182,Silvana Cichorius,She-devil,49.8795,8.7808
183,Dipl.-Ing. Hannelore Binner,,50.3416,8.7441
184,Ing. Helga Fliegner B.Sc.,,49.8938,8.7403
185,Vittorio Vogt-Täsche,,50.2674,8.5656
186,Silvana Mitschke-Käster,,49.9396,8.808
187,Ann-Kathrin Scholtz,,50.0756,8.5568
188,Frau Beatrix Bolnbach B.Eng.,,50.2545,8.5764
189,Armin Bärer B.A.,Big,50.3374,8.7262
190,Prof. Lutz Hein B.Eng.,,50.2694,8.6915
191,Ildiko Werner,,49.8932,8.5846
192,Alice Sauer,,50.0101,8.921
193,Osman Drub,,50.0012,8.6597
194,Univ.Prof. Gina Bolnbach B.Eng.,Magic,50.1958,8.4705
195,Willfried Jacob B.A.,,50.084,8.5709
196,Ing. Karla Lindner MBA.,Caprice,49.9286,8.8667
197,Richard Eberth B.A.,,50.0591,8.4576
198,Verena Caspar,Bear,50.3274,8.8945
199,Peggy Lachmann,,50.3315,8.8195
200,Annette Salz-Keudel,,49.9984,8.545
201,Berend Zirme-Linke,,50.2116,8.7118
202,Ali Dowerg,,50.1855,8.5548
203,Hans-Rudolf Fritsch,,49.862,8.901
204,Miodrag Trüb,,50.0849,8.6583
205,Ing. Editha Dörschner,,50.0691,8.494
206,Erdal Fischer,Baby,50.0449,8.6222
207,Frithjof Stey MBA.,Beauty,50.0381,8.8418
208,Brit Jockel,,49.9583,8.5698
209,Margarethe Linke,,49.9565,8.4843
210,Bertold Hellwig-Dowerg,,50.1812,8.7846
211,Jörg Mentzel B.Sc.,,50.3134,8.6157
212,Prof. Kornelia Bolander B.A.,,50.2912,8.8003
213,Cemil Wähner MBA.,,49.9298,8.5004
214,Heide-Marie Atzler B.Eng.,,50.2986,8.5158
215,Franz-Josef Köster B.A.,,50.0184,8.5427
216,Gerwin Weihmann-Seifert,,50.1385,8.6058
217,Thilo Jäntsch,,50.358,8.5131
218,Dr. Raissa Benthin B.A.,,50.3391,8.6749
219,Jolanthe Fechner B.Sc.,,49.9836,8.878
220,Angelina Heß,,50.2551,8.5886
221,Siegried Schmidt-Gumprich,,49.8743,8.8861
222,John Junitz,Chao,50.0793,8.8432
223,Karla Meyer B.Eng.,,49.9192,8.4938
224,Univ.Prof. Martha Stey MBA.,Pelon,50.0425,8.5481
225,Senol Krause B.Eng.,,49.9756,8.6503
226,Herr Guenter Döring,,50.0719,8.5931
227,Dipl.-Ing. Guido Hendriks,,50.276,8.7268
228,Edmund Ullmann,,50.0469,8.7725
229,Ing. Linus Bien B.Sc.,,50.0623,8.6723
230,Dipl.-Ing. Simona Schmidtke MBA.,,50.0214,8.6798
231,Dipl.-Ing. Mareike Bruder B.A.,,49.9584,8.5599
232,Monique Naser,,49.973,8.6817
233,Ria Dussen van,,50.1222,8.4896
234,Fadime Kroker,,50.0116,8.764
235,Henrik Seifert MBA.,,50.0086,8.748
236,Alessandro Beckmann,Duchess,50.0155,8.5949
237,Katarzyna Trapp B.Sc.,,50.258,8.518
238,Dipl.-Ing. Reinhardt Wirth,Calypso,50.2892,8.8584
239,Herr Hans-Helmut Junitz B.Eng.,,49.9605,8.5999
240,Rolf-Peter Käster,,49.8729,8.8657
241,Hans-Herbert Hövel-Wagner,Fox,49.9455,8.7403
242,Theres Binner,,49.9759,8.5615
243,Tomas Mies,,50.0033,8.9106
244,Jolanta Langern,,49.9322,8.5166
245,Max Zorbach,,50.0669,8.4926
246,Dipl.-Ing. Lissy Mende,,50.2948,8.5603
