name,alias,address,city,country,lat,lon,code_phrase
Gilbert Weiss Le Turpin,,boulevard Guy Pinto 35007 Leduc,Paris,France,49.0934,2.2649,"['suscipit', 'laboriosam', 'maiores']"
Joséphine Noel-Robert,,"6, chemin de Bailly 39355 Rossiboeuf",Paris,France,48.7522,2.5797,"['iure', 'tempora', 'omnis']"
Tristan Antoine Le Lenoir,Nails,"42, rue de Legrand 82742 Vallet-sur-Mer",Paris,France,48.6501,2.3522,"['quia', 'hic', 'laudantium']"
Rémy de Bertrand,,chemin Jacques Francois 03240 Sainte François,Paris,France,48.8273,2.2571,"['repellat', 'eum', 'ea']"
Anouk Masse,,rue Brunet 88162 Michel,Paris,France,49.0282,2.2456,"['et', 'asperiores', 'blanditiis']"
Claire Le Guillon,,rue Gautier 11602 Lucas,Paris,France,48.9597,2.244,"['quam', 'a', 'consectetur']"
Madeleine Weber de la Duval,,"77, rue de Ribeiro 51168 Berger",Paris,France,48.7021,2.5708,"['distinctio', 'voluptates', 'error']"
Élise Peltier,,rue de Martineau 99174 BrunetVille,Paris,France,48.9614,2.1436,"['officiis', 'minima', 'repudiandae']"
Chantal Reynaud,,"4, rue Leclerc 44969 Simon",Paris,France,48.643,2.4027,"['consectetur', 'quisquam', 'unde']"
Colette Roux,,"925, rue de Philippe 98486 Leveque",Paris,France,49.0237,2.5859,"['recusandae', 'deserunt', 'quisquam']"
Paul Petitjean Le Lopez,,"26, rue Benjamin Gauthier 59251 Sainte Zoé",Paris,France,48.9098,2.4061,"['ratione', 'soluta', 'eligendi']"
Gérard Colin,,"37, rue de Benoit 46250 Gonzalez-sur-Rocher",Paris,France,48.8497,2.2935,"['delectus', 'sed', 'fugit']"
Jacqueline Toussaint du Meunier,,"404, chemin Olivie Arnaud 57894 Pruvost",Paris,France,49.0564,2.4268,"['architecto', 'ullam', 'ullam']"
Sylvie Collet,,"928, avenue Anastasie Merle 59606 Buisson-sur-Mer",Paris,France,48.7504,2.167,"['voluptates', 'sequi', 'porro']"
Jacques du Gomez,Slim,"54, chemin Brunel 78393 Hamon",Paris,France,49.0236,2.4323,"['ipsam', 'assumenda', 'error']"
André Le Leroux,,"25, rue de Pasquier 93463 De Sousa",Paris,France,48.6421,2.3458,"['hic', 'nihil', 'quos']"
Guillaume Meunier-Bourgeois,,"796, chemin Adrienne Delattre 22201 Saint Laurent",Paris,France,48.7652,2.1745,"['quibusdam', 'suscipit', 'maxime']"
Henri-Daniel Benoit,,"349, avenue Allain 68291 Delannoy",Paris,France,48.7443,2.3215,"['nam', 'consectetur', 'laboriosam']"
Adrien Blanc,,rue Antoine 80684 CarpentierBourg,Paris,France,48.8208,2.2585,"['neque', 'quia', 'ullam']"
Martine Le Gall,,"6, boulevard Coulon 16984 FischerVille",Paris,France,48.6419,2.3165,"['fugiat', 'qui', 'earum']"
Camille Rousset,,"51, rue William Philippe 54222 Leleu",Paris,France,48.9603,2.1705,"['quibusdam', 'voluptatem', 'ducimus']"
Anouk-Jeannine Texier,,rue de Vincent 31690 Roy-sur-Mer,Paris,France,48.9709,2.5659,"['corrupti', 'officia', 'est']"
Maggie-Maryse Lamy,,"10, rue de Maury 17385 Lecomte",Paris,France,48.8162,2.5987,"['neque', 'ipsum', 'modi']"
Gabrielle Lebrun-Laporte,,"4, boulevard Anastasie Simon 28467 Marchand",Paris,France,48.6892,2.5682,"['atque', 'eum', 'unde']"
Patricia Lebreton,,"37, rue Marc Merle 97543 Techer-la-Forêt",Paris,France,48.8934,2.2743,"['sapiente', 'magni', 'corrupti']"
Alice Le Jacquot,,"72, avenue Lemaire 00869 Sauvage",Paris,France,49.098,2.4303,"['fuga', 'pariatur', 'itaque']"
Honoré de la Petitjean,,"27, rue Hoarau 34543 Perret-sur-Mer",Paris,France,49.0689,2.2511,"['beatae', 'accusamus', 'veniam']"
Denise Gomez,,"18, rue de Masson 17828 Adam",Paris,France,48.8609,2.2087,"['dolores', 'enim', 'esse']"
Marcelle Ferreira,,"564, avenue Martineau 78451 Sainte Léon",Paris,France,48.7518,2.2126,"['enim', 'reprehenderit', 'dolorum']"
Julien Jacquet du Hernandez,,"9, rue Inès Berthelot 41081 Bernard",Paris,France,48.8048,2.2409,"['sint', 'dolorum', 'qui']"
Colette De Sousa,,"9, rue de Andre 63705 Chauvin",Paris,France,48.7948,2.5267,"['eius', 'soluta', 'ad']"
Pénélope Schneider Le Bonnin,Pelon,"59, rue Hebert 04730 Raymond-sur-Mer",Paris,France,48.7166,2.3707,"['quisquam', 'suscipit', 'a']"
Nath-Audrey Hebert,,"43, rue de Grondin 51332 Albertnec",Paris,France,48.8724,2.3437,"['quos', 'corrupti', 'corporis']"
Susanne Leveque-Joubert,Crow,"65, rue Philippe Royer 97132 Saint Olivierboeuf",Paris,France,48.7679,2.2742,"['sit', 'dolores', 'recusandae']"
Benoît Laroche de Rousseau,,"50, boulevard de Bigot 24219 Lebreton",Paris,France,49.0157,2.2699,"['aut', 'natus', 'optio']"
Lucas Torres,,"68, rue Jacqueline Pichon 49857 Saint Vincent-les-Bains",Paris,France,48.629,2.1454,"['magnam', 'perspiciatis', 'esse']"
Sabine Mahe,,"80, boulevard Texier 80419 Roger-sur-Mer",Paris,France,48.7344,2.187,"['necessitatibus', 'rem', 'aliquid']"
Marcel Roy,Tramposo,"35, avenue Garnier 72220 Germainboeuf",Paris,France,48.995,2.1271,"['modi', 'nemo', 'ut']"
Frédéric Guyon de Morvan,,"58, boulevard Weiss 17640 Mary",Paris,France,48.9967,2.2738,"['magnam', 'cumque', 'beatae']"
Victor Lefort-Leger,,"1, boulevard Bourgeois 06801 Gauthier",Paris,France,48.986,2.2321,"['veritatis', 'quisquam', 'deleniti']"
Margot Vasseur-Jacquot,,"62, rue de Lenoir 37680 Dupont",Paris,France,49.0903,2.1799,"['culpa', 'temporibus', 'quod']"
Laetitia Andre,,boulevard de Chevallier 95663 Fournierboeuf,Paris,France,48.9387,2.5922,"['aut', 'praesentium', 'sint']"
Martin Clerc de Lacroix,,"25, rue Ferrand 36500 Costa",Paris,France,48.7562,2.1305,"['laborum', 'perspiciatis', 'fugiat']"
Marthe Fontaine,,"95, avenue Fournier 53464 Dijoux",Paris,France,48.6374,2.413,"['architecto', 'beatae', 'debitis']"
Christophe Pelletier,,"73, boulevard Lopez 52228 Maury-sur-Hubert",Paris,France,48.9126,2.1242,"['voluptas', 'pariatur', 'iusto']"
Alfred Lopes,,"319, avenue de Sanchez 99674 Legrand",Paris,France,48.7036,2.4013,"['numquam', 'excepturi', 'quisquam']"
Marc Chretien-Bouvet,,rue de Dupont 41406 DumasBourg,Paris,France,48.7931,2.3138,"['repudiandae', 'rerum', 'debitis']"
Léon Francois,,rue Timothée Hernandez 14150 Guilletdan,Paris,France,48.7946,2.2904,"['id', 'placeat', 'aperiam']"
