name,alias,address,city,country,lat,lon,code_phrase
Astrid du Guerin,None,"65, avenue de Maillet 63957 BigotVille",Paris,France,48.7016,2.2623,quod dignissimos
Alexandre Poirier,None,"28, boulevard de Paul 23525 Le Roux",Paris,France,48.7494,2.1631,nihil libero
Renée David,None,"36, rue Gilbert Potier 28815 Saint Andrée",Paris,France,48.75,2.2278,maxime id
Marthe-Inès Hubert,None,"4, rue Philippe Delahaye 24099 Saint Timothée-sur-Mer",Paris,France,48.8923,2.4955,deserunt et
Noël-Georges Ollivier,None,"397, rue Aurélie Blondel 39197 Saint Élise-la-Forêt",Paris,France,48.931,2.2689,quae doloremque
Joseph Boutin,Chao,boulevard Clerc 37319 Ribeiro,Paris,France,48.9694,2.473,voluptatum harum
Hortense Faure,None,rue Astrid Sanchez 13209 Sainte Nathalie,Paris,France,48.7524,2.3539,dolores quibusdam
Marcelle Boyer,None,"27, avenue Bailly 13358 Saint Luce",Paris,France,48.9157,2.2026,cum modi
Pierre Collin,None,"93, rue Pons 65495 Bertin-sur-Mer",Paris,France,48.823,2.1029,rerum ipsum
Luc Le Lucas,None,chemin de Vallee 83968 Salmonboeuf,Paris,France,48.8008,2.1231,tempore sapiente
Isaac de Gimenez,None,"154, chemin de Benard 04110 Martins-sur-Mer",Paris,France,49.0491,2.1535,quidem nam
Franck Lelievre,None,"49, boulevard Dufour 21229 Legranddan",Paris,France,49.0392,2.1863,quis nam
Grégoire du Auger,None,"14, boulevard de Grondin 95112 Pruvost",Paris,France,48.7969,2.3838,dolorum sed
Charles-Christophe Guillou,None,"583, chemin Le Gall 88078 Lebonnec",Paris,France,48.7783,2.2071,voluptatum iure
Pierre Marques,None,"219, rue Gérard Morin 87162 Sainte PierreVille",Paris,France,48.9006,2.3591,est totam
Sylvie Godard,Reaper,rue de Faivre 55386 Traore-la-Forêt,Paris,France,49.089,2.4769,dolor praesentium
Brigitte Le Gautier,None,"68, rue Laurent Pons 74020 CoulonVille",Paris,France,48.921,2.4627,inventore quaerat
Anaïs Bruneau,None,rue Agnès Le Roux 85995 Maillet,Paris,France,48.933,2.2908,saepe perspiciatis
Lucy Descamps,None,"470, boulevard de Barre 44600 Jean",Paris,France,48.9866,2.1346,suscipit voluptatem
Rémy du Gallet,None,chemin Suzanne Pelletier 72834 Dupontdan,Paris,France,48.9759,2.2692,reprehenderit corrupti
Clémence Lebreton,Bullet,"468, rue Alphonse Schneider 28322 Davidnec",Paris,France,48.9114,2.4857,rem quasi
Alex Lamy,None,"88, rue Aimé Pascal 53570 Hamel-sur-Mer",Paris,France,48.7324,2.4101,voluptatibus aliquid
Isaac Herve-Hubert,None,"26, rue de Couturier 20232 Schneider-sur-Mer",Paris,France,49.0557,2.4677,eligendi inventore
Zoé Petit-Delorme,None,boulevard Fabre 96776 Marie-sur-Mer,Paris,France,49.0463,2.5746,ut dolorum
Louise Michel,None,"88, avenue Marc Maillet 90263 Salmon",Paris,France,48.9003,2.5239,cum tempora
Jean Berger,None,"6, rue Augustin Le Goff 24437 Boyer-sur-Mer",Paris,France,48.8168,2.5799,repudiandae sed
Thibault Boulay,None,"59, rue Henriette Leger 02884 Merle",Paris,France,48.9905,2.4681,necessitatibus quos
Manon Menard,None,"43, rue Reynaud 26104 Pelletier",Paris,France,48.7838,2.5333,numquam adipisci
Luce Barre,None,"98, rue Julien Lopes 29382 Bouchet",Paris,France,48.8426,2.2232,alias maiores
Simone Blanc,None,"16, avenue Clement 96908 Valentin",Paris,France,48.8109,2.4732,amet a
Benoît Aubert,None,"164, avenue Leleu 88561 Verdier-la-Forêt",Paris,France,48.9655,2.4405,explicabo totam
Céline Peron,None,"44, chemin Ramos 89094 Saint Marcelboeuf",Paris,France,48.9973,2.5737,veniam recusandae
Eugène de Gerard,None,"57, rue Marechal 37699 Bonnin-sur-Leroux",Paris,France,48.6311,2.2498,amet sed
Rémy Dupre,None,"956, rue de Lemaire 31589 Charles",Paris,France,49.01,2.2156,quo at
Christiane Couturier,None,"17, rue de Carpentier 96076 KleinVille",Paris,France,48.9984,2.156,consequuntur at
Capucine-Olivie Bousquet,None,"76, rue Inès Masson 26925 Saint Brigitte-sur-Mer",Paris,France,48.655,2.3774,perspiciatis perferendis
Dominique Bonnet,None,"8, avenue de Blin 89520 Joseph",Paris,France,48.8729,2.4474,blanditiis accusantium
Frédéric Leroy du Michel,None,"84, boulevard Clémence Dumas 82944 Gimenez-sur-Dufour",Paris,France,48.9897,2.2233,voluptas labore
Paul Tessier,None,"73, chemin Daniel Poirier 21699 Saint Constance-les-Bains",Paris,France,48.7925,2.2014,distinctio dignissimos
Suzanne Vallee,None,"48, rue de Ledoux 07782 Benoitnec",Paris,France,49.0282,2.3288,magnam veniam
Christiane Perrier de Chevalier,None,"2, rue Bernadette Nguyen 51350 Vallee",Paris,France,48.6105,2.4582,vel numquam
Caroline Bertin,Beauty,"69, boulevard Gosselin 03294 Lejeunenec",Paris,France,48.8838,2.5493,commodi ea
Isabelle Simon-Pineau,None,"63, rue Leclercq 81717 Deschamps-sur-Petit",Paris,France,48.7719,2.5848,culpa dolores
Anouk Roux-Leroy,None,"915, rue de Clerc 24554 Da Silva",Paris,France,48.888,2.4872,rerum ab
Denis Blondel-Thierry,None,"39, rue Camille Rolland 40245 Hubert",Paris,France,48.6839,2.3981,recusandae neque
Emmanuel Colas,Jaguar,"25, boulevard de Coulon 72646 Saint HenrietteBourg",Paris,France,48.824,2.2699,repudiandae pariatur
Christelle Brun-Le Goff,None,"35, avenue Valérie Morvan 27299 Marechal",Paris,France,49.0681,2.1222,eaque nam
Martin Roche-Chauvet,None,"9, boulevard Bonnet 09970 Germaindan",Paris,France,48.8848,2.3297,nam non
Marthe Alves,None,"29, boulevard de Bousquet 10788 Verdier",Paris,France,49.0672,2.5535,esse adipisci
Caroline Mercier,None,"39, avenue Christiane Mendes 46402 Lejeune",Paris,France,49.0985,2.5081,nobis quia
Auguste Jean-Blot,None,"91, chemin de Philippe 33315 Sainte Denis-sur-Mer",Paris,France,48.9059,2.31,ab recusandae
Matthieu-Guillaume Jean,None,boulevard Lefort 94854 Maury,Paris,France,48.8493,2.1915,quibusdam inventore
Timothée Merle-Clement,None,"6, chemin de Hardy 43939 Chartier",Paris,France,48.898,2.3932,quas provident
Pauline-Maggie Pages,None,"414, chemin Corinne Peltier 98840 Renard-sur-Mer",Paris,France,48.808,2.5976,ex expedita
Anouk Fabre,Breaker,"6, boulevard de Menard 23897 Fleury",Paris,France,48.968,2.5589,aliquam distinctio
Bernadette Marchal,Dollar,"58, boulevard Frédéric Goncalves 65569 BrunBourg",Paris,France,48.8965,2.5904,non ullam
